parcel_number,matched,latitude,longitude,census_tract
651130700,True,40.037977055163,-75.032589940678,42101033000
501129800,True,40.076073494929,-75.169222684805,42101026000
404347900,True,39.912192875489,-75.237444375371,42101006000
372013500,True,40.001334777412,-75.140283689966,42101017500
394546800,True,39.927744345403,-75.163783321152,42101002802
232322500,True,40.015817229767,-75.078117333786,42101030000
252402600,True,39.987429812302,-75.113570925583,42101017900
152211300,True,39.968486051915,-75.177131312601,42101013601
365372200,True,39.931218034634,-75.173626825197,42101003002
662148300,True,40.074754074706,-74.982982211002,42101036202
451262200,True,39.9877906843,-75.09814410282,42101037900
301351015,True,39.942990597242,-75.172154824901,42101001400
211070700,True,40.024007634698,-75.218038415633,42101021000
181182900,True,39.976093582872,-75.129039676037,42101015800
171172600,True,40.043718408432,-75.150744984149,42101027901
131399419,True,40.021222903636,-75.158651986389,42101020500
411344800,True,40.020065483864,-75.053017605725,42101032300
11383500,True,39.926538117389,-75.154591070126,42101002701
31100200,True,39.957264421086,-75.240361817923,42101008302
101247900,True,40.056923136713,-75.143059489892,42101026700
604013900,True,39.960075481958,-75.232411301548,42101008400
382210500,True,40.013637928231,-75.185704851594,42101020701
394250300,True,39.91855742501,-75.167250021546,42101004002
42047100,True,39.963323892587,-75.232920538032,42101009400
223007100,True,40.04522172143,-75.184522072392,42101023700
71554220,True,39.993103213523,-75.120293802445,42101017702
512011900,True,39.939271124528,-75.219824369437,42101007400
211259900,True,40.024340881132,-75.217297074292,42101021000
421400400,True,40.032046283112,-75.115761314309,42101029000
371400700,True,39.991156448859,-75.151882393514,42101016500
332124100,True,40.01243833552,-75.109774945224,42101019100
292214200,True,39.977788025581,-75.184014915251,42101013702
571295500,True,40.05350268843,-75.033196147845,42101034702
501299700,True,40.065909946052,-75.155909481079,42101026302
11070700,True,39.929507569333,-75.148305521162,42101002702
273118900,True,39.944447043175,-75.213209027925,42101007400
341019400,True,39.965405368586,-75.242464868316,42101009600
652409600,True,40.053106360401,-74.982713732797,42101035100
133086700,True,40.021906235164,-75.159029700073,42101020500
