OBJECTID,TRAIL_NAME,TRAIL_SYSTEM,ALIAS,LABEL,TRAIL_ID,TRAIL_TYPE,TRAIL_SURFACE,TRAIL_STATUS,TRAIL_RESTRICTIONS,PEDESTRIAN_ACCESS,BIKE_ACCESS,HORSE_ACCESS,CIRCUIT_TRAIL,ECG_TRAIL,SRT_TRAIL,DRG_TRAIL,MILES,COMMENTS,NMT911_TRAIL,Shape__Length
125,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00829787,,N,17.4635008053689
126,White Trail,WISSAHICKON,,White Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.40572581,,N,852.919849540287
127,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.38733485,,N,813.944847367578
128,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.37613482,,N,790.595193932033
129,Yellow Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03310792,,N,69.7265454894548
130,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.07774177,,N,163.457678599027
131,Orange Trail,WISSAHICKON,,Orange Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08597547,,N,181.020068656552
132,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.07064117,,N,148.423780121598
133,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.50512892,,N,1062.12620336518
134,Minor Trail,WISSAHICKON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.07853984,,N,164.978232241159
135,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.10151609,,N,213.34987882247
136,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.11116088,,N,233.938253121233
137,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.14653333,,N,308.02316120552
138,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.07875166,,N,165.556164967428
139,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.17007928,,N,357.163014294398
140,Minor Trail,WISSAHICKON,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.13179742,,N,277.517676549882
141,Yellow Trail,WISSAHICKON,,Yellow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.22978336,,N,483.09822882942
