X,Y,objectid,tree_name,tree_dbh,year,loc_y,loc_x
-8369306.35615559,4857428.20582921,137,ACER RUBRUM - RED MAPLE,4,2024,39.94137725,-75.1827564
-8369307.0273818,4857423.05357884,138,PRUNUS SPECIES - OTHER CHERRY,5,2024,39.94134177,-75.18276243
-8369072.31294997,4857500.44072726,139,ZELKOVA SERRATA - JAPANESE ZELKOVA,8,2024,39.94187476,-75.18065395
-8368989.13726472,4857470.39907532,140,ACER RUBRUM - RED MAPLE,8,2024,39.94166786,-75.17990677
-8369315.13550374,4857444.06533078,141,PRUNUS SPECIES - OTHER CHERRY,7,2024,39.94148649,-75.18283526
-8368913.33400228,4857505.37697764,142,GLEDITSIA TRIACANTHOS - HONEYLOCUST,6,2024,39.94190876,-75.17922582
-8368914.89075085,4857496.90392439,143,GLEDITSIA TRIACANTHOS - HONEYLOCUST,6,2024,39.9418504,-75.1792398
-8368638.76065271,4857432.76427525,144,GLEDITSIA TRIACANTHOS - HONEYLOCUST,14,2024,39.94140865,-75.17675929
-8368888.69835654,4857455.6834859,145,ZELKOVA SERRATA - JAPANESE ZELKOVA,12,2024,39.9415665,-75.17900451
-8368939.19643499,4857357.03369486,146,MAGNOLIA VIRGINIANA - SWEETBAY MAGNOLIA,3,2024,39.94088706,-75.17945814
-8368940.41214339,4857351.14847601,147,AESCULUS HIPPOCASTANUM - HORSECHESTNUT,4,2024,39.94084653,-75.17946907
-8368941.49351453,4857344.80473671,148,AESCULUS HIPPOCASTANUM - HORSECHESTNUT,5,2024,39.94080284,-75.17947878
-8368802.75941716,4856876.48161349,149,ACER CAMPESTRE - HEDGE MAPLE,16,2024,39.93757721,-75.17823251
-8368824.97888828,4856882.8700463,150,ACER RUBRUM - RED MAPLE,3,2024,39.93762121,-75.17843211
-8369397.63489126,4857602.84126861,151,SYRINGA RETICULATA - JAPANESE TREE LILAC,5,2024,39.94258003,-75.18357637
-8368976.05333955,4857231.35679193,152,PYRUS CALLERYANA - CALLERY PEAR,11,2024,39.94002146,-75.17978924
-8369272.48278588,4857517.76543627,153,CRATAEGUS VIRIDIS - WINTER KING HAWTHORN,2,2024,39.94199408,-75.18245211
-8369351.65952046,4857546.83157243,154,ACER PLATANOIDES - NORWAY MAPLE,9,2024,39.94219427,-75.18316336
-8368766.85918686,4857453.88195782,155,GLEDITSIA TRIACANTHOS - HONEYLOCUST,12,2024,39.9415541,-75.17791001
-8368924.55194453,4857446.59317754,156,GLEDITSIA TRIACANTHOS - HONEYLOCUST,5,2024,39.9415039,-75.17932659
-8368926.83522512,4857436.24752309,157,GLEDITSIA TRIACANTHOS - HONEYLOCUST,6,2024,39.94143264,-75.1793471
-8368926.14233888,4857426.81447678,158,GLEDITSIA TRIACANTHOS - HONEYLOCUST,6,2024,39.94136767,-75.17934088
-8369161.08273016,4857515.81940182,159,ACER TATARICUM - TATARIAN MAPLE,4,2024,39.94198068,-75.18145138
-8369278.34917975,4857593.05911263,160,PRUNUS TRILOBA - FLOWERING PLUM,5,2024,39.94251266,-75.1825048
-8369278.102281,4857598.5461854,161,PRUNUS TRILOBA - FLOWERING PLUM,5,2024,39.94255045,-75.18250259
-8369042.85042679,4857478.34549339,162,ULMUS SPECIES - OTHER ELM,6,2024,39.94172259,-75.18038928
-8369233.20607231,4857511.31064072,163,SOPHORA JAPONICA - JAPANESE PAGODA TREE,5,2024,39.94194963,-75.18209928
-8369024.1475567,4857493.76921331,164,ULMUS SPECIES - OTHER ELM,9,2024,39.94182881,-75.18022127
-8368429.3124889,4856783.29927352,165,PLATANUS X ACERIFOLIA - LONDON PLANETREE,7,2024,39.93693538,-75.17487778
-8368438.20739257,4856785.33551672,166,PLATANUS X ACERIFOLIA - LONDON PLANETREE,7,2024,39.93694941,-75.17495769
-8368825.30480968,4857461.70607844,167,PYRUS CALLERYANA - CALLERY PEAR,8,2024,39.94160798,-75.17843504
-8368726.522976,4856847.11003053,168,GLEDITSIA TRIACANTHOS - HONEYLOCUST,7,2024,39.9373749,-75.17754767
-8369347.4862051,4857603.25239864,169,GINKGO BILOBA - GINKGO,15,2024,39.94258286,-75.18312587
-8368712.05321033,4857445.77399186,170,GLEDITSIA TRIACANTHOS - HONEYLOCUST,14,2024,39.94149825,-75.17741768
-8368569.23132802,4856826.74144102,171,CORYLUS COLURNA - TURKISH FILBERT,5,2024,39.93723461,-75.17613469
-8369118.64524007,4856929.09096634,172,GLEDITSIA TRIACANTHOS - HONEYLOCUST,10,2024,39.93793957,-75.18107016
-8369134.98341609,4856932.51089424,173,FRAXINUS SPECIES - OTHER ASH,11,2024,39.93796312,-75.18121693
-8369147.36353088,4856935.45949882,174,FRAXINUS SPECIES - OTHER ASH,15,2024,39.93798343,-75.18132814
-8369160.42345712,4856937.48490778,175,FRAXINUS SPECIES - OTHER ASH,11,2024,39.93799738,-75.18144546
-8369184.46113727,4856941.3164465,176,FRAXINUS SPECIES - OTHER ASH,12,2024,39.93802377,-75.18166139
-8369389.94955681,4856917.31841419,177,KOELREUTERIA PANICULATA - GOLDENRAIN TREE,6,2024,39.93785848,-75.18350733
-8369417.85901032,4856830.08170223,178,PRUNUS SERRULATA - KWANZAN CHERRY,21,2024,39.93725761,-75.18375804
-8368973.65450082,4857485.6221901,179,ULMUS SPECIES - OTHER ELM,8,2024,39.9417727,-75.17976769
-8368595.98158136,4857405.61007659,180,GLEDITSIA TRIACANTHOS - HONEYLOCUST,14,2024,39.94122163,-75.17637499
-8368803.33089292,4857457.59658975,181,ACER RUBRUM - RED MAPLE,12,2024,39.94157968,-75.17823764
-8369388.12417988,4856922.49480301,182,QUERCUS BICOLOR - SWAMP WHITE OAK,15,2024,39.93789413,-75.18349093
-8368721.76599315,4857445.03707383,183,QUERCUS PALUSTRIS - PIN OAK,15,2024,39.94149318,-75.17750493
-8369321.01317749,4857346.64089532,184,PRUNUS VIRGINIANA - COMMON CHOKECHERRY,4,2024,39.94081548,-75.18288806
-8369273.17357199,4857533.98078802,185,QUERCUS PALUSTRIS - PIN OAK,10,2024,39.94210576,-75.18245831
-8369329.18249102,4857289.4304352,186,MALUS SPECIES - OTHER CRABAPPLE,3,2024,39.94042145,-75.18296145
-8369326.48727524,4857308.29231837,187,MALUS SPECIES - OTHER CRABAPPLE,4,2024,39.94055136,-75.18293724
-8369325.41586893,4857320.15403467,188,MALUS SPECIES - OTHER CRABAPPLE,4,2024,39.94063306,-75.18292761
-8369322.89599912,4857327.58921573,189,MALUS SPECIES - OTHER CRABAPPLE,4,2024,39.94068426,-75.18290498
-8369156.53101623,4857515.26259023,190,LIQUIDAMBAR STYRACIFLUA - SWEETGUM,4,2024,39.94197685,-75.18141049
-8369419.59283118,4856822.30606208,191,PRUNUS SERRULATA - KWANZAN CHERRY,10,2024,39.93720406,-75.18377362
-8369008.75520242,4857490.32032131,192,ULMUS SPECIES - OTHER ELM,9,2024,39.94180506,-75.180083
-8369302.21918871,4857595.93393805,193,GINKGO BILOBA - GINKGO,16,2024,39.94253246,-75.18271923
-8368509.51414179,4856797.74843172,194,GLEDITSIA TRIACANTHOS - HONEYLOCUST,4,2024,39.93703491,-75.17559824
-8368919.2213967,4857566.1308329,195,PRUNUS SPECIES - OTHER CHERRY,4,2024,39.94232719,-75.17927871
-8368921.57422594,4857552.34136575,196,CORYLUS COLURNA - TURKISH FILBERT,9,2024,39.94223222,-75.17929984
-8368848.04335474,4857465.26815214,197,GLEDITSIA TRIACANTHOS - HONEYLOCUST,14,2024,39.94163252,-75.1786393
-8368966.09879324,4857298.75040366,198,GLEDITSIA TRIACANTHOS - HONEYLOCUST,5,2024,39.94048564,-75.17969981
-8369206.76855985,4857523.25666612,199,ACER CAMPESTRE - HEDGE MAPLE,10,2024,39.9420319,-75.18186179
-8368842.16694273,4857464.35849088,200,PYRUS CALLERYANA - CALLERY PEAR,8,2024,39.94162625,-75.17858651
-8369299.05507626,4857548.00867589,201,PYRUS CALLERYANA - CALLERY PEAR,13,2024,39.94220238,-75.18269081
